call_oi,call_change_oi,call_volume,call_iv,call_ltp,call_change,call_bid_qty,call_bid,call_ask,call_ask_qty,strike,put_bid_qty,put_bid,put_ask,put_ask_qty,put_change,put_ltp,put_iv,put_volume,put_change_oi,put_oi,expiry,expiry_valid,is_holiday,call_data_available,put_data_available,data_quality,spot_price,valuation_date,days_to_expiry,T
89917.0,27400.0,493563.0,12.96,4.25,-1.1,4290,4.05,4.3,780,24900.0,130,784.8,793.4,65,115.35,796.45,16.69,1132.0,-224.0,2985.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
26136.0,6764.0,262603.0,13.24,3.55,-1.3,520,3.5,3.7,65,24950.0,65,836.35,843.9,65,117.05,838.1,15.01,185.0,34.0,359.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
224540.0,11042.0,791116.0,13.74,3.3,-1.1,130,3.3,3.4,195,25000.0,65,887.25,892.1,65,118.85,894.2,17.73,7663.0,-1606.0,30670.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
25089.0,10364.0,233409.0,14.21,3.05,-0.7,650,3.0,3.2,2340,25050.0,65,934.8,944.3,65,96.8,933.55,14.17,99.0,15.0,138.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
62096.0,17292.0,394649.0,14.47,2.55,-0.9,5655,2.55,2.75,520,25100.0,65,982.0,994.4,260,123.95,995.85,19.77,230.0,4.0,1485.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
11164.0,2907.0,81282.0,15.0,2.45,-0.65,455,2.45,2.75,1430,25150.0,780,984.35,1056.35,65,102.1,1010.3,,90.0,10.0,36.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
93347.0,34750.0,360165.0,15.42,2.25,-0.55,585,2.2,2.5,18590,25200.0,715,1090.0,1093.9,65,114.45,1090.0,19.45,694.0,-282.0,1797.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
32959.0,24988.0,136674.0,15.97,2.2,-0.3,975,2.15,2.25,1690,25250.0,780,1084.85,1155.95,65,317.5,1142.95,21.23,6.0,-3.0,24.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
77086.0,15396.0,344128.0,16.14,1.8,-0.5,6630,1.8,2.0,325,25300.0,65,1182.95,1191.6,260,107.45,1192.0,21.67,208.0,-49.0,1252.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
9889.0,4599.0,56410.0,16.59,1.7,-0.45,390,1.7,1.85,65,25350.0,780,1170.35,1255.5,65,137.3,1212.25,,9.0,8.0,24.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
66611.0,25491.0,210285.0,16.9,1.5,-0.4,260,1.55,1.65,390,25400.0,65,1281.65,1293.65,65,95.9,1280.0,11.46,24.0,-1.0,597.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
4642.0,583.0,16925.0,17.6,1.6,-0.25,65,1.5,1.6,325,25450.0,780,1282.05,1355.35,65,,1203.7,,,,17.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
180366.0,35647.0,443967.0,18.02,1.5,-0.3,520,1.5,1.55,65,25500.0,130,1385.4,1393.35,65,119.0,1389.6,23.67,1283.0,-718.0,18998.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
11558.0,6209.0,36979.0,18.09,1.2,-0.4,3055,1.15,1.7,650,25550.0,390,1381.35,1454.4,65,,1080.0,18.73,,,84.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
66786.0,25775.0,211386.0,18.63,1.2,-0.2,325,1.1,1.2,585,25600.0,780,1431.05,1497.15,65,149.55,1509.55,31.25,9.0,,253.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
12268.0,7230.0,38467.0,18.88,1.05,-0.3,1755,1.0,1.15,975,25650.0,780,1480.25,1591.9,780,-125.0,1500.0,,8.0,8.0,11.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
40824.0,5114.0,101229.0,19.31,1.0,-0.3,3575,0.95,1.05,1365,25700.0,780,1518.5,1605.2,65,126.7,1588.7,26.09,10.0,-5.0,279.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
10953.0,4832.0,32084.0,19.83,1.0,-0.25,1105,1.0,1.2,1300,25750.0,780,1580.15,1671.2,130,516.15,1621.15,,1.0,1.0,4.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
24280.0,4827.0,64501.0,20.12,0.9,-0.25,7995,0.9,0.95,4485,25800.0,780,1630.1,1704.15,260,131.45,1685.0,25.39,6.0,-3.0,191.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
